player_id,player,team,position,pos_label,partidos
1197415,Alex Valdés,Ñublense,M,Mediocampo,11
949422,Carlos Salomón,Ñublense,D,Defensa,9
1981750,Daniel Saavedra,Ñublense,M,Mediocampo,4
973992,Diego Céspedes,Ñublense,M,Mediocampo,10
1125913,Diego Sanhueza,Ñublense,D,Defensa,11
333405,Felipe Campos,Ñublense,D,Defensa,9
962130,Fernando Ovelar,Ñublense,F,Delantera,11
1518443,Franco Rami,Ñublense,F,Delantera,11
584418,Gabriel Graciani,Ñublense,M,Mediocampo,10
1503119,Giovanny Avalos,Ñublense,F,Delantera,8
986569,Hernán Muñoz,Ñublense,G,Arquero,11
761426,Ignacio Jeraldino,Ñublense,F,Delantera,11
1118269,Ignacio Tapia,Ñublense,M,Mediocampo,7
2038473,Joaquín González,Ñublense,F,Delantera,3
986626,Jovany Campusano,Ñublense,M,Mediocampo,10
312376,Lorenzo Reyes,Ñublense,M,Mediocampo,11
1396682,Lucas Molina,Ñublense,F,Delantera,11
951278,Manuel Rivera,Ñublense,M,Mediocampo,11
986676,Matías Plaza,Ñublense,M,Mediocampo,11
47441,Nicola Pérez,Ñublense,G,Arquero,11
819075,Osvaldo Bosso,Ñublense,D,Defensa,11
1015675,Pablo Calderón,Ñublense,D,Defensa,7
863129,Sebastián Valencia,Ñublense,D,Defensa,11
